"DeviceName","DriverVersion","Manufacturer","Date"
"High precision event timer","10.0.26100.1150","(Standard system devices)",
"Intel(R) LPC Controller (HM470) - 068D","10.1.31.2","INTEL",
"Microsoft Wi-Fi Direct Virtual Adapter","10.0.26100.4202","Microsoft",
"Microsoft Wi-Fi Direct Virtual Adapter","10.0.26100.4202","Microsoft",
"Realtek RTL8822CE 802.11ac PCIe Adapter","2024.0.10.226","Realtek Semiconductor Corp.",
"Intel(R) PCI Express Root Port #16 - 06B7","10.1.31.2","INTEL",
"Alcorlink PCIE Card Reader","1.19.2.2301","Alcorlink Corp.",
"Intel(R) PCI Express Root Port #15 - 06B6","10.1.31.2","INTEL",
"Realtek Gaming GbE Family Controller","10.56.119.2022","Realtek",
"Intel(R) PCI Express Root Port #14 - 06B5","10.1.31.2","INTEL",
"Disk drive","10.0.26100.4202","(Standard disk drives)",
"Standard NVM Express Controller","10.0.26100.4202","Standard NVM Express Controller",
"Intel(R) PCI Express Root Port #9 - 06B0","10.1.31.2","INTEL",
"Intel(R) Optane(TM) Memory and Storage Management Component","18.7.4.1007","Intel Corporation",
"Intel(R) Optane(TM) Pinning Shell Extensions","18.7.4.1007","Intel Corporation",
"Intel(R) Chipset SATA/PCIe RST Premium Controller","18.37.4.1007","Intel Corporation",
"Intel(R) Management Engine WMI Provider","2130.1.15.0","Intel",
"Intel(R) iCLS Client","1.63.1155.2","Intel",
"Intel(R) Dynamic Application Loader Host Interface","1.41.2021.121","Intel",
"Intel(R) Management Engine Interface #1","2145.1.42.0","Intel",
"Intel(R) Serial IO I2C Host Controller - 06E9","30.100.2132.2","Intel Corporation",
"Microsoft Input Configuration Device","10.0.26100.1150","Microsoft",
"ELAN PrecisionTouchpad Filter Driver","22.2.29.1","ELAN",
"ELAN HID Class Filter Driver","22.2.29.1","ELAN HID Device",
"ELAN Input Device","22.2.29.1","ELAN",
"I2C HID Device","10.0.26100.4202","Microsoft",
"Intel(R) Serial IO I2C Host Controller - 06E8","30.100.2132.2","Intel Corporation",
"Intel(R) Shared SRAM - 06EF","10.1.31.2","INTEL",
"Bluetooth LE Generic Attribute Service","10.0.26100.4202","Microsoft",
"Bluetooth LE Generic Attribute Service","10.0.26100.4202","Microsoft",
"Bluetooth LE Generic Attribute Service","10.0.26100.4202","Microsoft",
"Bluetooth LE Generic Attribute Service","10.0.26100.4202","Microsoft",
"Bluetooth LE Generic Attribute Service","10.0.26100.4202","Microsoft",
"Bluetooth LE Generic Attribute Service","10.0.26100.4202","Microsoft",
"Device Information Service","10.0.26100.4202","Microsoft",
"Generic Attribute Profile","10.0.26100.4202","Microsoft",
"Generic Access Profile","10.0.26100.4202","Microsoft",
"Bluetooth LE Device","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth LE Enumerator","10.0.26100.4202","Microsoft",
"Bluetooth Device (Personal Area Network)","10.0.26100.4061","Microsoft",
"Bluetooth Device","10.0.26100.4202","Microsoft",
"Bluetooth Device","10.0.26100.4202","Microsoft",
"Bluetooth Device","10.0.26100.4202","Microsoft",
"Bluetooth Device","10.0.26100.4202","Microsoft",
"AAP Server",,,
"Wireless iAP v2",,,
"GATT",,,
"MAP MAS-iOS",,,
"Phonebook Access Pse Service","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Hands-Free Audio device","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Hands-Free Profile Handsfree role","10.0.26100.1","Microsoft",
"Microsoft Bluetooth Hands-Free Audio device","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Hands-Free Profile AudioGateway role","10.0.26100.1","Microsoft",
"Microsoft Bluetooth Hands-Free Audio device","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Hands-Free Profile AudioGateway role","10.0.26100.1","Microsoft",
"Microsoft Bluetooth Hands-Free Audio device","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Hands-Free Profile AudioGateway role","10.0.26100.1","Microsoft",
"Personal Area Network NAP Service","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Avrcp Transport Driver","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Avrcp Transport Driver","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Avrcp Transport Driver","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Avrcp Transport Driver","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Avrcp Transport Driver","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Avrcp Transport Driver","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Avrcp Transport Driver","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth Avrcp Transport Driver","10.0.26100.4202","Microsoft",
"Microsoft Bluetooth A2dp Source","10.0.26100.1","Microsoft",
"Microsoft Bluetooth A2dp Source","10.0.26100.1","Microsoft",
"Microsoft Bluetooth A2dp Source","10.0.26100.1","Microsoft",
"Microsoft Bluetooth A2dp Sink","10.0.26100.1","Microsoft",
"Service Discovery Service","10.0.26100.4202","Microsoft",
"Service Discovery Service","10.0.26100.4202","Microsoft",
"Wireless iAP",,,
"Microsoft Bluetooth Enumerator","10.0.26100.4202","Microsoft",
"Standard Serial over Bluetooth link","10.0.26100.2161","Microsoft",
"Standard Serial over Bluetooth link","10.0.26100.2161","Microsoft",
"Bluetooth Device (RFCOMM Protocol TDI)","10.0.26100.4061","Microsoft",
"Realtek Bluetooth 5 Adapter","1.9.1046.3002","Realtek Semiconductor Corp.",
"Realtek DMFT - RGB","10.0.22000.20211","Realtek",
"USB Composite Device","10.0.26100.3912","(Standard USB Host Controller)",
"USB Root Hub (USB 3.0)","10.0.26100.4202","(Standard USB HUBs)",
"USB xHCI Compliant Host Controller","10.0.26100.4202","Generic USB xHCI Host Controller",
"Intel(R) Thermal Subsystem - 06F9","10.1.31.2","INTEL",
"Intel(R) Gaussian Mixture Model - 1911","10.1.7.4","INTEL",
"Intel(R) Dynamic Tuning Processor Participant","8.7.10700.22502","Intel",
"Generic PnP Monitor","10.0.26100.3624","(Standard monitor types)",
"Intel(R) Graphics Command Center","30.0.101.1994","Intel Corporation",
"Intel(R) Graphics Control Panel","30.0.101.1994","Intel Corporation",
"Intel(R) UHD Graphics","30.0.101.1994","Intel Corporation",
"NVIDIA High Definition Audio","1.4.0.1","Microsoft",
"High Definition Audio Controller","10.0.26100.4202","Microsoft",
"NVIDIA GeForce GTX 1650 Ti","32.0.15.6119","NVIDIA",
"Intel(R) Xeon(R) E3 - 1200/1500 v5/6th Gen Intel(R) Core(TM) PCIe Controller (x16) - 1901","10.1.1.40","INTEL",
"Intel(R) Host Bridge/DRAM Registers - 9B64","10.1.30.3","INTEL",
"PCI Express Root Complex","10.0.26100.4202","(Standard system devices)",
"Microsoft ACPI-Compliant System","10.0.26100.4202","Microsoft",
"ACPI x64-based PC","10.0.26100.1","(Standard computers)",
"Charge Arbitration Driver","10.0.26100.4202","(Standard system devices)",
"UMBus Root Bus Enumerator","10.0.26100.1150","Microsoft",
"Microsoft Kernel Debug Network Adapter","10.0.26100.3624","Microsoft",
"Microsoft Storage Spaces Controller","10.0.26100.4202","Microsoft",
"Microsoft Virtual Drive Enumerator","10.0.26100.1591","Microsoft",
"Composite Bus Enumerator","10.0.26100.1150","Microsoft",
"Microsoft Hyper-V Virtualization Infrastructure Driver","10.0.26100.4202","Microsoft",
"VMware Virtual Ethernet Adapter for VMnet8","14.0.0.8","VMware, Inc.",
"VMware Virtual Ethernet Adapter for VMnet1","14.0.0.8","VMware, Inc.",
"OpenVPN Data Channel Offload","1.0.0.0","OpenVPN, Inc",
"TAP-Windows Adapter V9","9.26.0.0","TAP-Windows Provider V9",
"VirtualBox Host-Only Ethernet Adapter","7.0.20.13906","Oracle Corporation",
"Microsoft Hypervisor Service","10.0.26100.4202","Microsoft",
"Microsoft Basic Display Driver","10.0.26100.4202","(Standard display types)",
"Microsoft Hyper-V Virtual Machine Bus Provider","10.0.26100.4202","Microsoft",
"Volume","10.0.26100.1","Microsoft",
"Generic volume shadow copy","10.0.26100.1","Microsoft",
"Generic volume shadow copy","10.0.26100.1","Microsoft",
"Volume","10.0.26100.1","Microsoft",
"Volume","10.0.26100.1","Microsoft",
"Volume","10.0.26100.1","Microsoft",
"Volume Manager","10.0.26100.4202","Microsoft",
,,,
,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",,
,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",,
,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",,
,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",,
,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",,
